Year,Team,Teams (in effect),Starting Rating,Final Rating,Prize Money,Win World Cup (Starting Elo),Make Final (Starting Elo),Make Semifinals (Starting Elo),Make Quarterfinals (Starting Elo),Make Round of 16 (Starting Elo),Average Prize Money (Starting Elo),Win World Cup (Final Elo),Make Final (Final Elo),Make Semifinals (Final Elo),Make Quarterfinals (Final Elo),Make Round of 16 (Final Elo),Average Prize Money (Final Elo),Adjusted Win World Cup (Starting Elo),Adjusted Make Final (Starting Elo),Adjusted Make Semifinals (Starting Elo),Adjusted Make Quarterfinals (Starting Elo),Adjusted Make Round of 16 (Starting Elo),Adjusted Win World Cup (Final Elo),Adjusted Make Final (Final Elo),Adjusted Make Semifinals (Final Elo),Adjusted Make Quarterfinals (Final Elo),Adjusted Make Round of 16 (Final Elo),Tournament Performance Rating (Starting Elo),Tournament Performance Rating (Final Elo)
1930,Uruguay,12,2071,2137,42,0.3932,0.7197,0.9537,0.9943,1.0,33.2689,0.578,0.8528,0.973,0.9977,1.0,36.1522,0.14745,0.2698875,0.3576375,0.3728625,0.375,0.21675,0.3198,0.364875,0.3741375,0.375,0.926275,0.891625
1930,Argentina,16,2076,2061,30,0.4979,0.8662,0.9512,0.9991,1.0,35.0766,0.3648,0.8467,0.939,0.999,1.0,33.2993,0.24895,0.4331,0.4756,0.49955,0.5,0.1824,0.42335,0.4695,0.4995,0.5,0.658975,0.697125
1930,Brazil,12,1929,1880,17,0.0891,0.2684,0.8912,0.9957,1.0,27.4172,0.0426,0.1355,0.8037,0.9896,1.0,25.4659,0.0334125,0.10065000000000002,0.3342,0.3733875,0.375,0.015975,0.050812500000000003,0.3013875,0.3711,0.375,0.64620625,0.66375625
1930,United States,12,1673,1766,27,0.0019,0.0225,0.2668,0.5931,1.0,17.7279,0.0077,0.075,0.5041,0.8291,1.0,21.0716,0.0007125,0.0084375,0.10005,0.22241249999999999,0.375,0.0028875000000000003,0.028124999999999997,0.1890375,0.3109125,0.375,0.94575625,0.89141875
1930,Paraguay,12,1784,1742,13,0.0148,0.0827,0.5469,0.8348,1.0,21.5523,0.0052,0.0548,0.4007,0.7747,1.0,19.8362,0.00555,0.0310125,0.20508750000000003,0.31305,0.375,0.00195,0.02055,0.1502625,0.2905125,0.375,0.655975,0.66724375
1930,Chile,16,1578,1647,17,0.0001,0.0038,0.0152,0.5552,1.0,15.3818,0.0005,0.0141,0.0399,0.7492,1.0,16.4385,5e-05,0.0019,0.0076,0.2776,0.5,0.00025,0.00705,0.01995,0.3746,0.5,0.8573999999999999,0.802725
1930,Serbia,12,1591,1644,25,0.0004,0.0069,0.1051,0.7688,1.0,17.0591,0.0006,0.0081,0.1925,0.8533,1.0,18.1851,0.00015000000000000001,0.0025875,0.0394125,0.2883,0.375,0.000225,0.0030375,0.0721875,0.3199875,0.375,0.979,0.9623875
1930,Romania,12,1550,1587,17,0.0001,0.0022,0.0221,0.3177,1.0,14.4772,0.0001,0.0028,0.0197,0.3844,1.0,14.7216,3.7500000000000003e-05,0.000825,0.0082875,0.1191375,0.375,3.7500000000000003e-05,0.00105,0.0073875,0.14415,0.375,0.9362875,0.9242312500000001
1930,Belgium,12,1644,1576,13,0.0011,0.0146,0.1863,0.4971,1.0,16.6278,0.0002,0.0047,0.0952,0.3213,1.0,15.1017,0.0004125,0.005475,0.0698625,0.18641249999999998,0.375,7.500000000000001e-05,0.0017625000000000002,0.0357,0.1204875,0.375,0.7192937500000001,0.7522562500000001
1930,France,16,1538,1570,17,0.0,0.0013,0.0074,0.4295,1.0,14.7937,0.0003,0.0037,0.015,0.5399,1.0,15.3205,0.0,0.00065,0.0037,0.21475,0.5,0.00015,0.00185,0.0075,0.26995,0.5,0.890775,0.861275
