Team,World Cup Appearances,Total Prize Money,Expected Total Prize Money (Starting Elo),Expected Total Prize Money (Final Elo),World Cups Won,Final Appearances,SF Appearances,Expected World Cup Wins (Starting Elo),Expected Final Appearances (Starting Elo),Expected SF Appearances (Starting Elo),Expected World Cup Wins (Final Elo),Expected Final Appearances (Final Elo),Expected SF Appearances (Final Elo),Probability of Winning a World Cup (Starting Elo),Probability of Making a Final (Starting Elo),Probability of Making a Semifinal (Starting Elo),Probability of Winning a World Cup (Final Elo),Probability of Making a Final (Final Elo),Probability of Making a Semifinal (Final Elo),Average Tournament Performance Rating (Starting Elo),Average Tournament Performance Rating (Final Elo)
Brazil,22,549.0,521.296,535.7556,5,7,11,3.9396,6.661600000000001,10.954600000000001,4.452699999999999,6.909,11.3938,0.9891674204601211,0.9997862069732681,0.9999999681553956,0.9956191911316767,0.9998918424500126,0.9999999852916196,0.6655508522727271,0.6725423295454546
Germany,20,520.0,429.8289,440.15950000000004,4,8,13,2.5389,4.689500000000001,7.902100000000001,2.7091,5.0119,8.3767,0.9478038189385335,0.997450155654642,0.9999926978719981,0.9590784126436649,0.9983247000411635,0.9999965100295882,0.7237318749999998,0.71464625
Italy,18,410.0,371.73940000000005,383.1411,4,6,8,1.9905000000000002,3.6418,6.578600000000001,2.4382,4.0139,6.8626,0.9025886752150832,0.989308556109447,0.9999276140453873,0.9533232201130741,0.9952554743223024,0.9999710720659984,0.662390625,0.6554913194444444
Argentina,18,388.0,375.131,370.0228,3,6,6,2.1728,4.0914,6.8124,1.8542,3.8876000000000004,6.566,0.9223306426238691,0.9976444975736156,0.999985020312399,0.8757902164323476,0.995966186858545,0.9999717601673491,0.6560680555555555,0.6603034722222222
France,16,344.0,281.3692,298.7048,2,4,7,0.9575,1.79,3.4274999999999998,1.3277999999999999,2.2956,4.084,0.6515406190896968,0.8738588108281444,0.9861984423939564,0.7784072314369176,0.9362953700828137,0.9956528386565143,0.72748515625,0.69575234375
England,16,293.0,329.30769999999995,318.0072,1,1,3,1.862,3.3417000000000003,5.8101,1.4421,2.881,5.4138,0.8769105528026025,0.983293113420324,0.9997015535512862,0.8049980653565488,0.9673471809945352,0.9993338105531392,0.6177476562499999,0.61937109375
Uruguay,14,276.0,242.53179999999998,248.1572,2,2,5,0.6204,1.4494000000000002,3.6563,0.8453,1.7542,3.8235,0.517752908453675,0.8683755903157743,0.9992708806197058,0.6789867740048484,0.9445978812506602,0.9998858879417074,0.698324107142857,0.7022660714285716
Spain,16,257.0,313.40559999999994,300.4847,1,1,2,1.3452,2.6997999999999998,4.906000000000001,1.0892,2.3190999999999997,4.4392,0.7626031328354148,0.952810709106513,0.9976129410409619,0.6916736462058387,0.9276479920972955,0.9957255649812513,0.5101117187499999,0.5256375
Netherlands,11,228.0,214.1626,224.1735,0,3,5,0.9728,1.7796,3.3576,1.0393,2.0566999999999998,3.8614,0.6521843714937654,0.8718040858867621,0.9872782778568112,0.6739792073758797,0.9082378875705159,0.9941576157770918,0.6729181818181819,0.6434875
Mexico,17,225.0,249.0575,245.52970000000002,0,0,0,0.2272,0.6549,1.7704999999999997,0.19699999999999998,0.5777,1.6395,0.20782839611663395,0.4945017194845144,0.8555356138824584,0.1837393564150821,0.45520334146896346,0.8388293710621391,0.6327139705882354,0.6320242647058825
Sweden,12,221.0,202.09760000000003,204.6587,0,1,4,0.35179999999999995,0.9949999999999999,2.6549000000000005,0.38110000000000005,1.0431,2.8088,0.30438824362869554,0.6581167699276704,0.9678763937852255,0.3286740714899805,0.6798303928840297,0.9772465963542948,0.7508072916666668,0.738925
Belgium,14,204.0,212.89199999999997,211.60010000000003,0,0,2,0.21,0.6102,1.7619000000000002,0.24930000000000002,0.6021000000000001,1.6561,0.1922553539552957,0.46975573393503467,0.8541456886363684,0.22990243691197,0.47538393636061327,0.8448832952603946,0.6134602678571428,0.6115950892857143
Serbia,13,197.0,213.4892,205.77370000000002,0,0,2,0.37629999999999997,1.0076,2.5011,0.2541,0.7703000000000001,2.2041000000000004,0.32124127541769754,0.6601826142096816,0.9472539962111927,0.22783288582320793,0.5549777033882893,0.9197163933833534,0.5921057692307692,0.6140538461538461
Switzerland,12,168.0,167.1882,168.17349999999996,0,0,0,0.08879999999999999,0.29579999999999995,0.8924000000000001,0.0659,0.2925,0.8761000000000001,0.08581988412499408,0.2613665753006573,0.612159348176917,0.0640850301947955,0.25793845443617347,0.6030127805644133,0.6951583333333332,0.6835510416666666
Russia,11,159.0,202.6141,193.6352,0,0,1,0.7584000000000001,1.5191,3.1033000000000004,0.5245,1.2144,2.7851999999999997,0.5547400789058623,0.8200825556261935,0.9823358382479929,0.42238954256509187,0.738486496178711,0.9725214002392533,0.5184670454545455,0.5276034090909091
Hungary,9,159.0,187.8423,179.98149999999998,0,2,2,1.1785,2.0649,3.1102999999999996,0.9316000000000001,1.9105,2.8429000000000006,0.7585440697759964,0.9407164713338646,0.9897370432068918,0.6778897031383064,0.9405141249725487,0.9870755067090407,0.6609125,0.6607236111111111
Czech Republic,9,151.0,162.0537,156.0562,0,2,2,0.3551,0.9151,2.37,0.2643,0.8543999999999999,2.1521999999999997,0.3065464982023537,0.625600130171456,0.949188640857443,0.23783873885689077,0.6125200059329694,0.9485887744241316,0.6311986111111111,0.6411055555555555
United States,11,149.0,137.7118,138.8501,0,0,1,0.034699999999999995,0.1424,0.7035,0.031299999999999994,0.1671,0.8526,0.03420123160695121,0.13403504289630397,0.5336133186778526,0.030907111349794847,0.15705893311305796,0.6535746932391155,0.6575244318181818,0.6607551136363636
Poland,9,137.0,135.07989999999998,136.8625,0,0,2,0.1644,0.47129999999999994,1.2976999999999999,0.26289999999999997,0.6509,1.4628,0.15417459763054164,0.3907120822441539,0.7754415621072526,0.2439516325522938,0.5327659819791828,0.8627713361317725,0.5905208333333333,0.596713888888889
Chile,9,131.0,124.59530000000001,129.7044,0,0,1,0.046900000000000004,0.1707,0.511,0.076,0.27440000000000003,0.7774000000000001,0.04608887826072072,0.15957416725269225,0.41581694258232493,0.07421783897466927,0.249201470292704,0.5844651070886469,0.6809791666666667,0.6632041666666667
South Korea,11,127.0,125.00539999999998,123.7954,0,0,1,0.0213,0.0912,0.36399999999999993,0.034600000000000006,0.10319999999999999,0.3491,0.021145501499681085,0.08794129687982521,0.3122729003139447,0.034389416009670715,0.10045269144895341,0.30598484810085347,0.5188954545454545,0.53
Portugal,8,122.0,131.2103,132.0797,0,0,2,0.31679999999999997,0.7739,1.6183999999999998,0.324,0.7811,1.7176,0.27839576870698535,0.5627944043241804,0.8426041821017983,0.28489723767412833,0.5681211869977625,0.8706672445944035,0.48084999999999994,0.48244687500000005
Austria,7,117.0,119.8352,119.9767,0,0,2,0.3443,0.7190000000000001,1.6057000000000001,0.269,0.6401,1.7453,0.31922156914859945,0.5789828736437287,0.9214621983410756,0.24766716618953688,0.5082747196014654,0.9235073743878132,0.6419446428571428,0.6439303571428571
Croatia,6,111.0,84.71230000000001,87.8271,0,1,3,0.1109,0.3037,0.7572000000000001,0.1546,0.3889,0.8923,0.10651735041335109,0.27034841987852465,0.5643768279837249,0.14665799727114315,0.33812768006540506,0.6382352096464825,0.5745999999999999,0.5669
Paraguay,8,104.0,115.17249999999999,114.2346,0,0,0,0.0665,0.25989999999999996,1.0773000000000001,0.0405,0.20500000000000002,0.9224999999999999,0.06482220508688663,0.23484640360452613,0.7420810388117711,0.039827377908720485,0.188472389448457,0.6539809438815793,0.6712562500000001,0.6509414062500001
Bulgaria,7,99.0,102.8491,95.4778,0,0,1,0.0648,0.22349999999999998,0.6371,0.021900000000000003,0.0986,0.3378,0.06326125299420426,0.20461185787812752,0.49206603147412586,0.02177492527886926,0.09508069830455212,0.29588453099601153,0.6316785714285714,0.6795964285714285
Romania,7,99.0,105.7564,106.7424,0,0,0,0.0713,0.2252,0.7879,0.0809,0.2362,0.7803,0.06961838880392224,0.20668045352741993,0.5734041027144117,0.07883729094965497,0.21680500939271619,0.5717832419531996,0.6844125,0.6767401785714285
Scotland,8,92.0,118.76820000000001,112.5642,0,0,0,0.126,0.38040000000000007,1.0394999999999999,0.054900000000000004,0.2042,0.7297,0.1200732464258587,0.32784224634969494,0.688686440051363,0.053746817618147036,0.1880790109020768,0.5425272289493295,0.522140625,0.5350906249999999
Cameroon,8,80.0,81.59219999999999,80.97659999999999,0,0,0,0.011099999999999999,0.0366,0.1206,0.0072,0.0274,0.1059,0.011078963350596993,0.036327840821619994,0.1165752532476122,0.007192442191807924,0.027212908114445544,0.10236760343138185,0.478653125,0.48651093749999996
